semg_rms,semg_std,semg_max,angle_mean,angle_std,angle_range,amg_rms,amg_std
70.6443,70.64431,1456.839,61.70486,24.256577,76.676865,14.349416,14.349418
113.22177,113.22177,3533.4292,61.612286,31.869488,101.379486,77.56732,77.56732
90.97919,90.97919,2341.6084,61.872177,32.37059,101.74746,73.96728,73.96728
98.56992,98.56992,3324.023,61.343216,31.844522,98.95922,83.43731,83.43732
92.8168,92.8168,2206.3699,61.456882,31.60554,100.50195,75.30544,75.30544
44.178993,44.178993,494.58978,63.011246,35.717545,96.9775,18.87737,18.87737
45.982246,45.982246,733.99255,62.90557,36.48179,97.40852,17.410492,17.410492
42.536846,42.536846,496.80923,62.04268,37.557293,96.466415,19.6151,19.615099
43.65793,43.65793,461.35043,62.416336,37.60142,97.30094,21.708124,21.70812
48.385185,48.385185,593.1767,62.445457,35.619583,95.83807,20.182823,20.182825
47.7723,47.7723,567.082,62.400196,33.994194,94.27149,21.332787,21.332788
47.261482,47.261482,872.60754,61.50942,37.013687,94.45034,25.405819,25.405813
53.522675,53.52267,887.42285,61.781277,37.260406,96.48264,20.814684,20.814684
50.03329,50.03329,694.4836,58.449112,28.342073,91.471275,13.595398,13.595397
48.985622,48.985626,713.607,58.596783,29.038513,90.75534,13.409963,13.409961
47.59924,47.59924,628.68494,59.000397,28.425621,87.688835,13.993931,13.993932
51.595394,51.595394,564.44434,58.83421,27.910694,90.43712,14.848081,14.848082
57.94114,57.94114,1057.0413,59.62902,30.689568,113.01478,90.43534,90.43535
55.311317,55.311317,850.37823,59.347507,30.765089,108.03608,89.50926,89.509254
52.1953,52.1953,950.3682,59.43434,29.940582,113.3557,97.83499,97.83499
50.6186,50.618603,1038.8202,58.939743,31.471138,109.81315,100.56469,100.56468
146.97974,146.97975,2717.4092,65.25307,34.131977,100.73974,38.69599,38.69599
162.78764,162.78766,2295.633,65.681885,32.235756,102.142166,33.510925,33.510925
135.88388,135.8839,2312.4468,65.81617,35.77233,109.37949,36.293385,36.293385
131.82503,131.82503,2668.1792,65.1502,35.782047,106.4351,47.835125,47.835125
157.32433,157.32431,2850.7207,64.19104,34.248272,102.14793,32.722042,32.72204
144.39491,144.39493,1746.2726,64.335014,34.639435,100.740234,32.721832,32.72183
150.66742,150.66742,2395.3801,64.49727,35.28935,100.11593,32.31161,32.31161
125.792496,125.792496,1413.1671,64.66562,35.33926,103.78976,30.771795,30.771797
105.960335,105.96034,2110.9314,57.571007,30.46016,93.815384,25.469864,25.469868
