semg_rms,semg_std,semg_p25,semg_p75,semg_p95,angle_mean,angle_std,angle_range,angle_p25,angle_p75,angle_p95,amg_rms,amg_std,amg_p95
99.83381,99.83381,-35.480225,32.431496,112.38675,59.003696,29.645508,103.20192,25.441572,83.69064,93.498024,101.4044,101.404396,127.19859
106.53144,106.53145,-35.799263,33.487617,117.894424,58.568066,29.296978,98.63088,24.991304,83.43864,92.19353,113.24951,113.24951,147.46188
99.99551,99.99551,-30.49855,29.32716,102.82998,58.25968,29.890564,97.635185,23.836872,83.92496,93.48851,131.32414,131.32414,156.01546
144.00305,144.00305,-15.470682,15.963123,152.27512,59.517586,38.61204,100.45967,11.71213,93.3375,101.39473,19.734123,19.734121,28.860611
160.24443,160.24443,-16.56894,16.598095,164.33855,58.929897,38.831825,99.606415,10.792189,93.65808,101.176735,22.35963,22.359627,31.790697
161.68987,161.68987,-15.625406,16.795834,168.77931,58.97298,38.33538,98.01563,11.076593,93.426834,100.92754,20.971153,20.971153,30.94455
131.84882,131.84882,-14.569724,15.135478,132.85246,58.680153,38.051476,96.63258,10.537286,93.66647,100.12264,19.601633,19.601633,29.885517
159.72458,159.7246,-17.27649,17.091587,171.68561,58.033016,39.582664,95.02721,9.720438,93.85773,101.07367,21.60096,21.60096,28.116232
254.2776,254.2776,-21.040277,21.15299,239.7779,58.746857,39.040535,97.61421,11.021494,93.913826,101.86095,20.379013,20.379011,29.40954
208.38318,208.38318,-21.586102,20.744135,220.70802,58.848324,38.878475,99.92473,11.424755,93.7579,101.56849,19.099283,19.099281,27.98069
205.21667,205.2167,-19.565432,19.340607,196.35593,58.951675,38.7427,99.08284,11.554115,93.91879,101.49599,18.244207,18.244204,27.452787
157.16617,157.16617,-24.45543,25.816107,183.74712,56.01039,35.53379,109.21925,18.526348,78.58098,117.07046,21.757097,21.757095,33.5458
136.79709,136.79709,-20.861912,22.14012,137.05737,54.63371,35.865017,106.84996,17.638483,74.84973,115.15379,20.502796,20.50279,30.672617
148.38176,148.38176,-17.692207,18.577047,131.91785,54.47492,35.705425,109.425385,16.651455,72.400024,116.498604,18.764503,18.764503,27.761883
117.07315,117.07316,-16.999218,18.022974,116.21779,54.3385,37.1025,106.36485,15.767791,72.57631,114.393616,19.906399,19.906403,29.608597
142.85597,142.85597,-23.04646,22.350908,146.91911,55.79006,34.549168,98.70795,14.135193,86.57779,97.07126,77.99985,77.99984,104.66879
137.17667,137.17667,-18.306034,18.928188,120.35674,54.921696,35.06858,100.026024,13.862283,86.25124,97.52252,73.56592,73.56591,89.54482
136.13316,136.13316,-19.511742,19.57573,128.82489,54.78091,34.883713,102.15887,13.637846,86.70781,96.697784,67.76575,67.76575,92.00458
143.91869,143.91869,-19.022573,19.335644,136.9665,54.835094,34.98536,100.89056,13.277498,86.09306,97.29588,74.68946,74.68946,103.17371
89.32841,89.32841,-30.284378,32.053688,137.85739,60.497707,30.95084,96.24923,21.876635,89.17086,93.828735,18.641577,18.641573,28.883602
83.44798,83.44798,-36.208847,38.036686,122.48363,60.192905,31.340475,94.32257,20.644112,89.60865,92.33733,19.513409,19.51341,29.333847
78.66044,78.66044,-33.104267,31.963007,122.92969,60.382492,30.606623,90.94719,22.239609,89.30614,91.68631,20.693342,20.693346,31.461414
85.48629,85.48629,-33.340862,34.613457,129.98598,60.219368,30.472248,91.68979,22.352869,89.20309,91.848785,19.493853,19.49385,28.919643
70.049484,70.049484,-31.598633,32.518963,105.19572,59.121544,30.445217,87.49718,21.241325,88.10556,90.02797,18.853891,18.853891,27.683018
69.74138,69.74138,-24.677618,25.640276,105.71719,59.221092,30.744507,88.81592,21.56945,88.66577,90.72713,19.890781,19.890781,27.723099
71.0054,71.0054,-29.682928,30.43927,103.588806,59.20814,29.69682,86.785934,21.642838,87.01746,90.108505,17.40428,17.40428,26.14194
67.18589,67.18589,-21.33381,21.450407,100.31756,58.660984,30.903553,88.59813,19.932058,88.11806,90.77524,19.445469,19.445473,28.495338
99.20924,99.20924,-36.758343,36.717323,170.3085,53.20329,26.577919,86.49014,31.598719,67.40322,96.55136,10.79909,10.7990885,16.759933
107.05318,107.05318,-49.17011,52.077324,174.10992,52.523136,25.579086,81.67789,34.700996,66.23555,94.12089,10.469223,10.469222,16.430212
101.41848,101.41849,-45.85354,47.703224,177.0843,52.49229,25.475025,79.68586,36.084255,66.47096,92.95361,9.752809,9.752808,15.22187
90.92829,90.92829,-38.778778,39.91028,154.96225,52.46981,25.700342,80.02641,36.454483,66.83327,91.751434,9.631237,9.631237,14.935778
78.010765,78.010765,-24.122696,26.919521,101.42675,54.38804,28.253035,108.062515,21.545715,79.05408,83.01236,77.44524,77.44522,115.18239
77.77125,77.77125,-29.785868,30.614779,103.186874,54.290325,28.815159,108.950455,21.622553,79.73441,83.75597,80.07855,80.07855,113.67835
76.21249,76.21248,-28.052345,29.19543,102.67026,53.963917,29.074728,109.0512,21.370096,79.63979,83.322815,79.38235,79.38234,110.50925
69.944534,69.944534,-25.244549,25.98492,90.722305,53.842766,29.281315,110.062515,21.514076,80.046585,83.70048,69.98773,69.98775,100.85423
148.66473,148.66473,-39.100883,35.870377,174.24449,60.648094,33.367424,96.19593,15.710569,93.286606,95.55232,22.083443,22.083445,29.097307
145.20953,145.20953,-36.200687,32.224094,180.87668,60.344707,34.23671,94.680984,14.55962,93.06604,96.33458,23.180056,23.180056,30.851479
124.177895,124.177895,-32.628098,30.03846,150.79437,59.78826,34.423462,93.80899,15.223293,93.29722,97.773705,23.471445,23.471443,31.332521
116.60603,116.606026,-25.297043,22.926134,144.93027,59.192448,34.61096,92.39022,14.005625,93.66129,97.25417,22.281116,22.28112,28.55436
115.962944,115.962944,-21.91864,19.773848,139.95512,58.553673,34.93621,92.977135,15.7889385,93.40854,98.27433,19.418148,19.418148,26.0827
105.98523,105.98523,-21.761665,20.0614,115.08543,58.612274,33.97096,89.78136,17.23085,92.93028,96.11515,16.784687,16.784687,22.576641
100.5303,100.5303,-21.644016,20.224977,118.66377,58.676857,33.801624,89.63453,17.748486,92.90357,96.476906,16.652845,16.652845,24.139254
107.91288,107.91288,-23.998056,22.787514,127.897606,58.93857,32.657394,86.439514,18.546618,91.97041,94.60938,16.725708,16.725706,24.294945
102.45193,102.45193,-27.528353,24.821579,137.9519,54.40764,31.540892,96.01452,19.278128,69.04639,109.83559,12.321606,12.321606,18.59712
106.226524,106.226524,-24.455273,21.539646,123.155205,54.377518,32.215927,96.385056,20.74565,69.60289,110.23857,13.785779,13.785779,20.649437
113.49013,113.49012,-29.022352,26.120405,130.14449,54.396217,31.922419,96.38184,20.972784,69.0775,109.88684,13.187727,13.187727,20.016966
110.2727,110.272705,-26.27111,23.578417,121.03653,54.6913,31.803244,95.32376,21.72103,68.36713,109.66525,12.845932,12.845932,19.3114
90.56799,90.567986,-23.426762,22.860708,96.82257,53.884686,28.422314,97.02759,22.799122,80.68143,85.89085,65.7588,65.758804,86.346634
89.9524,89.9524,-24.00571,22.414207,96.87046,53.78944,27.805973,94.94574,23.782185,79.11911,85.09547,65.991135,65.991135,87.090126
90.10841,90.10841,-23.399391,22.458342,97.33314,53.543465,28.17327,97.21998,23.210184,79.700935,85.62076,70.70221,70.70221,88.52923
87.973404,87.973404,-23.903688,22.57074,106.4277,53.273643,27.887262,93.90874,22.071087,79.286865,84.89616,77.74378,77.74378,99.439384
199.05927,199.05927,-35.148598,34.75517,266.65875,59.54435,32.32705,98.617294,20.774374,89.09855,100.22145,33.54793,33.54793,44.322304
187.30862,187.30864,-35.33169,36.30781,240.30496,58.55597,32.242474,95.243126,17.410345,88.3921,99.241295,34.614666,34.614666,47.46035
166.07925,166.07925,-30.858728,29.179726,203.09529,58.030506,31.971437,89.693954,16.13692,88.70633,95.887215,32.28918,32.28918,44.93318
